Y_06,Y_08,Y_09,Y_10,Y_12,Y_13,Y_14
17.422,-26.022,-26.097,-21.841,-26.137,-25.919,-25.965
17.132,-25.807,-25.819,-22.092,-25.612,-25.588,-25.738
17.984,-24.954,-24.718,-21.083,-24.598,-24.718,-24.886
13.637,-28.01,-28.136,-24.855,-27.909,-28.111,-28.052
15.702,-26.871,-26.783,-23.027,-26.795,-26.784,-26.944
17.533,-25.015,-25.103,-21.273,-25.214,-25.1,-25.113
18.035,-25.141,-25.227,-20.969,-25.118,-25.162,-24.999
17.91,-23.785,-23.96,-20.977,-23.95,-23.899,-23.856
17.174,-24.834,-24.858,-21.404,-24.712,-24.793,-24.537
16.644,-25.78,-25.672,-22.374,-25.369,-25.102,-25.449
18.145,-25.826,-25.595,-21.386,-25.518,-25.822,-25.615
15.792,-26.728,-26.603,-23.051,-26.629,-26.581,-26.599
17.938,-24.784,-24.641,-21.018,-24.702,-24.444,-24.682
17.993,-25.208,-25.239,-21.013,-25.067,-24.855,-25.247
17.821,-25.206,-25.202,-21.167,-25.189,-25.244,-25.301
15.721,-26.51,-26.387,-23.292,-26.417,-26.38,-26.565
18.171,-25.174,-25.16,-21.032,-25.055,-24.922,-24.864
17.474,-25.421,-25.355,-21.415,-25.231,-25.452,-25.477
18.327,-24.775,-24.758,-21.077,-24.46,-24.5,-24.511
17.288,-26.081,-25.971,-21.693,-25.699,-25.966,-25.891
16.197,-26.176,-26.294,-22.54,-26.184,-26.29,-26.192
15.703,-26.15,-26.005,-22.959,-26.164,-26.226,-25.976
17.645,-25.509,-25.463,-21.588,-25.464,-25.379,-25.452
16.554,-25.96,-26.289,-22.501,-25.839,-25.956,-25.877
16.896,-26.314,-26.495,-22.339,-26.326,-26.455,-26.343
17.427,-25.849,-25.44,-21.589,-25.4,-25.519,-25.573
16.978,-25.999,-25.733,-21.696,-25.576,-25.829,-25.837
18.154,-25.041,-24.927,-20.852,-24.808,-24.858,-24.845
17.715,-24.957,-24.593,-21.597,-24.642,-24.782,-24.854
18.011,-24.351,-24.78,-20.636,-24.439,-24.265,-24.474
17.088,-25.29,-25.464,-21.417,-25.523,-25.377,-25.352
16.994,-25.708,-25.428,-21.598,-25.378,-25.418,-25.456
17.834,-25.459,-25.289,-21.284,-25.601,-25.358,-25.347
16.723,-26.072,-26.15,-22.562,-25.892,-26.158,-25.973
16.936,-25.366,-25.87,-22.155,-25.69,-25.572,-25.635
17.853,-25.748,-25.719,-21.372,-25.499,-25.412,-25.344
16.054,-26.389,-26.501,-23.044,-26.274,-26.216,-26.178
16.534,-26.684,-26.466,-22.54,-26.378,-26.322,-26.355
17.027,-25.741,-25.524,-22.187,-25.492,-25.555,-25.493
16.279,-26.258,-26.485,-22.437,-26.193,-26.365,-26.29
16.722,-25.104,-25.512,-22.141,-25.309,-25.34,-25.516
16.807,-26.117,-25.902,-22.44,-26.082,-25.686,-25.897
15.549,-27.111,-27.108,-23.374,-27.357,-27.303,-27.118
14.762,-27.471,-27.516,-24.353,-27.686,-27.708,-27.526
15.691,-26.548,-26.471,-23.055,-26.47,-26.538,-26.622
15.965,-26.912,-26.821,-22.954,-26.953,-26.782,-27.002
15.848,-27.19,-27.42,-23.117,-27.458,-27.198,-27.11
16.776,-25.68,-25.681,-21.932,-25.477,-25.374,-25.794
15.127,-25.691,-25.565,-23.306,-25.625,-25.533,-25.504
17.946,-25.584,-25.825,-21.052,-25.586,-25.584,-25.671
15.696,-26.88,-26.893,-22.897,-26.79,-26.702,-26.788
16.802,-25.735,-25.949,-21.889,-25.688,-25.695,-25.696
17.819,-25.362,-25.411,-20.907,-25.149,-25.183,-25.229
16.48,-25.777,-25.429,-22.626,-25.539,-25.5,-25.412
15.278,-27.905,-27.669,-23.761,-27.615,-27.536,-27.584
17.536,-25.107,-25.233,-21.544,-25.109,-25.052,-24.962
16.211,-25.64,-25.455,-22.475,-25.595,-25.65,-25.559
16.0,-26.546,-26.481,-22.88,-26.462,-26.464,-26.613
16.104,-26.426,-26.518,-22.6,-26.518,-26.303,-26.415
15.8,-26.748,-26.935,-23.112,-27.047,-26.996,-26.964
17.546,-25.771,-25.855,-21.222,-25.723,-25.65,-25.691
16.614,-25.946,-26.1,-22.241,-25.851,-25.971,-25.807
16.301,-25.84,-25.895,-22.603,-25.931,-26.127,-26.118
16.048,-26.702,-26.653,-22.713,-26.678,-26.756,-26.58
14.742,-26.732,-27.101,-23.576,-26.6,-26.787,-26.807
15.891,-25.894,-26.336,-22.673,-26.173,-26.214,-26.084
17.0,-25.876,-25.777,-21.786,-25.741,-25.845,-25.893
16.344,-26.2,-26.242,-22.008,-25.963,-26.1,-26.036
14.674,-27.768,-27.938,-23.883,-27.777,-27.582,-27.74
15.877,-26.354,-26.545,-22.791,-26.552,-26.377,-26.55
15.508,-26.853,-27.097,-22.933,-26.9,-26.762,-26.797
15.299,-26.545,-26.781,-23.341,-26.497,-26.54,-26.816
16.285,-25.914,-26.09,-22.77,-25.966,-26.141,-26.143
15.693,-27.354,-27.27,-23.312,-27.248,-26.991,-27.081
17.209,-25.582,-25.641,-21.485,-25.562,-25.616,-25.518
15.199,-27.448,-27.549,-23.025,-27.59,-27.512,-27.532
17.048,-25.598,-25.559,-21.758,-25.295,-25.576,-25.525
17.173,-25.971,-25.977,-21.501,-26.103,-25.976,-26.095
16.839,-25.432,-25.722,-21.805,-25.687,-25.591,-25.733
17.156,-26.051,-26.04,-21.798,-25.914,-25.854,-25.911
15.854,-26.333,-26.265,-22.891,-26.026,-26.073,-26.238
16.359,-26.093,-26.0,-22.27,-25.962,-25.95,-25.979
14.448,-28.07,-27.949,-23.862,-28.036,-28.14,-28.107
15.2,-26.702,-26.73,-22.998,-26.772,-26.707,-26.69
15.058,-27.018,-27.299,-23.33,-27.158,-27.016,-27.135
14.405,-28.208,-27.744,-23.887,-27.954,-27.772,-27.992
15.839,-27.294,-27.375,-23.065,-27.405,-27.205,-27.236
16.824,-26.157,-26.147,-21.989,-26.082,-26.075,-25.999
16.597,-25.917,-26.169,-22.399,-26.183,-26.059,-26.174
17.458,-25.782,-25.658,-21.527,-25.625,-25.752,-25.826
17.382,-25.867,-25.984,-21.213,-25.853,-25.997,-25.965
17.676,-25.396,-25.255,-21.119,-25.463,-25.311,-25.369
16.353,-26.338,-26.437,-22.273,-26.15,-26.117,-26.202
16.831,-25.522,-25.599,-21.741,-25.304,-25.403,-25.6
13.894,-28.682,-28.651,-25.197,-28.586,-28.512,-28.705
16.13,-26.345,-26.041,-22.596,-26.157,-26.357,-26.282
16.563,-26.043,-26.073,-22.499,-26.021,-26.065,-25.97
15.845,-27.268,-27.266,-23.563,-27.048,-27.204,-27.226
17.048,-25.971,-25.874,-21.922,-25.696,-25.734,-25.767
15.916,-27.028,-26.585,-22.98,-26.815,-26.747,-26.678
16.705,-26.208,-26.284,-22.414,-26.47,-26.086,-26.076
16.391,-26.934,-26.888,-22.249,-26.938,-26.976,-26.974
15.895,-26.407,-26.78,-23.351,-26.365,-26.319,-26.533
17.665,-25.01,-25.134,-21.499,-25.173,-25.058,-25.139
16.294,-26.232,-26.281,-22.601,-26.182,-26.35,-26.133
17.025,-25.904,-26.151,-21.916,-25.956,-25.772,-25.938
17.027,-25.731,-25.344,-21.83,-25.467,-25.623,-25.533
15.919,-26.642,-26.665,-23.057,-26.622,-26.587,-26.604
16.728,-25.631,-25.618,-22.015,-25.771,-25.689,-25.839
16.581,-26.895,-26.733,-22.418,-26.613,-26.833,-26.87
15.484,-25.598,-25.803,-22.505,-25.492,-25.588,-25.68
15.956,-26.047,-25.968,-22.987,-25.972,-25.884,-25.776
15.465,-26.192,-26.191,-23.213,-25.96,-25.995,-26.171
15.794,-26.063,-26.235,-23.026,-26.051,-26.226,-25.95
16.408,-26.099,-26.399,-22.359,-26.235,-26.236,-26.171
16.506,-26.718,-26.496,-22.336,-26.339,-26.431,-26.602
16.572,-24.618,-25.052,-22.14,-24.725,-24.862,-24.753
16.043,-26.556,-26.378,-22.81,-26.547,-26.384,-26.597
16.581,-26.061,-25.803,-22.259,-25.976,-25.968,-25.632
16.342,-25.689,-25.631,-22.403,-25.42,-25.548,-25.294
17.062,-25.48,-25.368,-21.79,-25.266,-25.325,-25.708
16.008,-26.738,-26.783,-22.734,-26.377,-26.47,-26.474
16.742,-26.099,-26.192,-21.991,-25.972,-26.084,-25.787
17.422,-25.739,-25.927,-21.463,-25.809,-25.928,-25.594
15.486,-27.384,-27.552,-23.192,-27.54,-27.545,-27.349
16.085,-27.053,-26.639,-23.081,-26.575,-26.574,-26.764
16.475,-26.352,-26.335,-22.538,-26.303,-26.422,-26.371
15.633,-26.379,-26.112,-23.204,-26.383,-26.283,-26.15
16.414,-26.588,-26.831,-22.483,-26.633,-26.653,-26.732
15.57,-27.005,-26.879,-23.699,-26.647,-26.774,-26.828
17.419,-25.621,-25.644,-21.743,-25.486,-25.606,-25.556
16.144,-26.532,-26.536,-22.525,-26.477,-26.351,-26.549
15.101,-27.05,-26.857,-23.477,-26.891,-27.125,-26.923
17.21,-25.682,-25.719,-21.813,-25.739,-25.636,-25.637
16.983,-25.912,-26.005,-21.905,-26.089,-25.954,-26.065
15.812,-26.993,-26.979,-23.046,-26.615,-26.911,-26.756
17.245,-25.177,-25.148,-21.724,-25.06,-25.085,-24.957
16.735,-25.908,-25.896,-22.2,-25.743,-25.828,-25.819
15.621,-26.474,-26.604,-22.909,-26.607,-26.69,-26.568
16.871,-25.864,-26.162,-22.061,-25.983,-25.978,-26.108
15.947,-26.361,-26.428,-22.801,-26.376,-26.095,-26.25
16.264,-26.31,-26.124,-22.158,-25.861,-26.086,-26.091
15.313,-27.339,-27.125,-23.462,-27.179,-27.134,-27.244
15.853,-26.835,-26.67,-22.806,-26.594,-26.71,-26.643
16.044,-26.851,-26.786,-23.33,-26.836,-26.812,-26.766
16.22,-26.265,-26.375,-22.489,-26.179,-26.291,-26.334
16.508,-26.686,-26.708,-22.438,-26.778,-26.774,-26.579
15.508,-26.942,-27.004,-23.189,-26.921,-27.02,-26.908
16.153,-26.717,-26.82,-22.949,-26.797,-26.818,-26.712
15.044,-27.968,-27.896,-23.884,-27.984,-28.029,-27.892
15.306,-27.281,-27.229,-23.206,-27.153,-27.35,-27.08
15.626,-27.043,-27.188,-23.39,-27.077,-27.191,-27.133
15.819,-27.024,-26.917,-22.93,-26.554,-26.695,-26.63
16.576,-26.246,-26.221,-22.06,-26.315,-26.436,-26.36
16.267,-25.791,-25.855,-22.456,-25.768,-25.806,-25.909
13.842,-28.152,-27.878,-24.831,-28.08,-27.999,-28.149
15.417,-26.47,-26.57,-23.791,-26.451,-26.381,-26.517
15.377,-26.419,-26.537,-23.328,-26.572,-26.328,-26.399
15.618,-25.907,-26.008,-22.748,-25.793,-25.906,-25.878
16.027,-26.922,-27.261,-22.967,-26.848,-27.098,-26.862
16.911,-26.046,-26.318,-22.184,-26.034,-26.201,-26.133
16.138,-26.423,-26.522,-22.705,-26.357,-26.384,-26.502
16.859,-25.556,-25.558,-21.865,-25.496,-25.612,-25.688
14.707,-27.287,-27.396,-24.076,-26.989,-27.11,-27.239
17.675,-25.5,-25.763,-20.945,-25.649,-25.565,-25.371
16.794,-25.989,-25.795,-21.919,-25.676,-25.737,-25.663
17.283,-25.803,-25.624,-21.66,-25.582,-25.472,-25.513
16.513,-26.084,-25.684,-22.254,-26.078,-26.078,-25.784
16.244,-26.707,-26.709,-22.41,-26.647,-26.412,-26.51
14.248,-27.136,-27.298,-24.441,-26.929,-26.823,-27.072
13.613,-28.646,-28.545,-25.374,-28.217,-28.476,-28.233
15.112,-27.954,-27.677,-24.007,-27.41,-27.589,-27.677
14.754,-27.814,-27.835,-24.118,-27.865,-27.852,-27.687
15.894,-26.897,-26.876,-22.909,-26.717,-26.734,-26.558
15.333,-27.369,-27.429,-23.403,-27.111,-27.474,-27.3
15.88,-26.222,-26.331,-22.505,-26.181,-26.112,-26.197
16.831,-26.885,-26.661,-22.344,-26.695,-26.552,-26.629
16.432,-26.202,-26.089,-22.645,-26.304,-26.319,-26.366
15.84,-26.199,-26.364,-22.729,-26.325,-26.147,-26.34
17.123,-26.124,-25.988,-21.636,-25.898,-25.891,-25.967
17.279,-26.158,-26.144,-22.046,-26.011,-25.923,-26.199
16.243,-26.657,-26.48,-22.448,-26.347,-26.373,-26.433
16.669,-26.335,-26.389,-22.065,-26.297,-26.148,-26.325
16.9,-26.341,-26.391,-22.331,-26.354,-26.455,-26.241
17.41,-25.223,-25.384,-21.183,-25.358,-25.215,-25.202
16.096,-27.083,-27.09,-22.688,-26.923,-26.821,-26.813
16.431,-26.733,-26.855,-22.581,-26.604,-26.541,-26.491
16.382,-25.653,-25.574,-22.328,-25.588,-25.734,-25.53
17.211,-25.614,-25.727,-21.473,-25.486,-25.422,-25.757
16.651,-25.822,-26.035,-22.151,-25.923,-25.716,-25.68
15.475,-26.934,-26.931,-23.312,-26.734,-26.592,-26.685
15.233,-26.898,-27.017,-23.217,-26.99,-26.838,-26.832
15.732,-26.961,-27.066,-23.084,-26.757,-26.946,-27.017
16.794,-26.074,-26.161,-22.297,-26.242,-26.106,-26.178
15.189,-27.825,-27.665,-23.561,-27.713,-27.74,-27.839
14.304,-27.269,-26.994,-24.054,-27.222,-27.023,-27.312
16.141,-26.452,-26.476,-22.765,-26.502,-26.53,-26.497
15.168,-27.895,-27.824,-24.156,-27.687,-27.823,-27.695
16.422,-26.879,-26.832,-22.845,-26.9,-26.755,-26.911
18.211,-24.69,-24.996,-20.997,-24.797,-24.677,-24.658
17.094,-25.742,-25.895,-21.871,-25.703,-25.892,-25.597
16.519,-26.47,-26.704,-22.175,-26.568,-26.648,-26.452
18.113,-24.88,-24.956,-20.971,-25.008,-24.97,-25.014
17.319,-26.174,-26.154,-22.06,-26.06,-26.142,-26.143
17.182,-24.348,-24.311,-21.262,-24.413,-24.445,-24.366
17.55,-25.702,-25.616,-21.609,-25.948,-25.63,-25.594
17.705,-25.013,-25.004,-21.079,-24.792,-24.906,-25.144
18.457,-24.986,-25.327,-20.645,-24.84,-24.846,-25.043
18.017,-24.888,-24.995,-21.249,-24.774,-24.733,-24.793
16.87,-25.415,-25.793,-21.877,-25.94,-25.861,-25.785
15.801,-26.228,-26.181,-23.128,-26.307,-26.65,-26.456
16.662,-26.428,-26.656,-22.096,-26.665,-26.706,-26.507
17.981,-25.138,-25.252,-20.986,-25.211,-25.524,-25.157
16.218,-26.691,-26.539,-22.513,-26.204,-26.376,-26.64
16.905,-25.323,-25.423,-22.014,-25.258,-25.265,-25.35
16.591,-25.983,-26.277,-22.285,-26.294,-26.312,-26.269
15.647,-27.148,-27.058,-23.679,-27.318,-27.33,-27.252
16.101,-27.084,-27.213,-22.506,-26.791,-26.91,-26.918
15.781,-27.208,-27.251,-23.385,-27.145,-27.123,-27.197
14.945,-27.335,-27.34,-24.355,-27.221,-27.369,-27.447
17.495,-25.357,-25.294,-21.362,-25.198,-25.147,-25.341
16.312,-27.01,-26.888,-22.495,-26.862,-26.815,-26.751
17.871,-25.843,-25.731,-21.321,-25.746,-25.847,-25.464
15.026,-26.644,-26.662,-23.561,-26.458,-26.65,-26.576
16.925,-26.444,-26.301,-21.788,-26.196,-26.138,-26.438
17.336,-25.22,-25.458,-21.531,-25.314,-25.306,-25.234
16.42,-26.825,-26.745,-22.425,-26.509,-26.525,-26.464
18.286,-25.411,-25.463,-20.727,-25.428,-25.424,-25.394
18.592,-25.029,-24.797,-20.224,-24.639,-24.529,-24.662
15.011,-27.616,-27.795,-24.113,-27.866,-27.682,-27.851
15.419,-26.875,-26.697,-23.054,-26.807,-26.665,-26.713
17.041,-25.713,-25.883,-21.739,-25.474,-25.67,-25.554
16.454,-26.467,-26.572,-22.505,-26.294,-26.421,-26.466
17.526,-24.414,-24.492,-20.801,-24.354,-24.433,-24.433
17.425,-25.744,-26.081,-21.69,-25.749,-25.614,-25.76
17.278,-25.114,-25.257,-21.798,-25.124,-25.04,-25.251
17.271,-25.713,-25.953,-21.626,-25.651,-25.755,-25.626
16.749,-26.016,-26.04,-22.124,-26.032,-26.144,-26.181
17.027,-24.712,-24.729,-21.296,-24.727,-24.674,-24.415
17.41,-25.662,-25.644,-21.919,-25.546,-25.413,-25.568
16.928,-26.405,-26.143,-22.293,-26.14,-26.14,-26.251
17.756,-25.306,-25.178,-21.278,-25.278,-25.464,-25.246
16.411,-26.25,-26.041,-22.347,-26.316,-26.207,-26.217
17.366,-25.747,-25.776,-21.354,-25.619,-25.552,-25.777
17.099,-25.792,-25.602,-21.974,-25.654,-25.69,-25.798
17.558,-25.864,-26.019,-21.706,-25.739,-25.644,-25.912
17.55,-25.633,-25.794,-21.262,-25.619,-25.54,-25.673
16.596,-26.234,-26.264,-22.276,-26.584,-26.378,-26.543
17.347,-25.436,-25.43,-21.217,-25.191,-25.122,-25.112
17.008,-24.776,-25.109,-21.621,-24.995,-24.807,-24.883
17.972,-25.049,-24.995,-21.087,-25.012,-24.663,-24.738
16.626,-26.821,-26.649,-22.577,-26.647,-26.5,-26.716
16.845,-25.208,-25.121,-21.661,-25.101,-25.061,-25.056
17.318,-26.248,-26.392,-21.561,-26.113,-26.054,-26.085
17.027,-26.219,-26.527,-22.083,-26.522,-26.291,-26.603
17.134,-25.574,-25.519,-22.057,-25.859,-25.65,-25.661
15.888,-25.84,-25.737,-22.82,-25.755,-25.579,-25.899
15.727,-27.043,-26.844,-23.358,-26.741,-26.938,-26.68
17.14,-25.823,-25.727,-21.828,-25.885,-25.869,-25.633
17.037,-26.267,-26.276,-21.892,-26.347,-26.421,-26.133
17.226,-25.891,-25.89,-21.519,-25.722,-25.837,-26.055
16.055,-26.633,-26.378,-22.793,-26.578,-26.683,-26.598
16.636,-26.458,-26.034,-22.298,-25.848,-25.863,-26.067
17.467,-25.25,-25.011,-21.019,-24.971,-24.876,-25.024
17.861,-24.739,-24.873,-20.845,-24.772,-24.652,-24.623
17.205,-24.834,-24.764,-20.986,-24.546,-24.722,-24.525
17.917,-25.801,-25.963,-21.252,-25.697,-25.695,-25.538
17.576,-25.882,-25.898,-21.571,-25.96,-25.946,-25.784
17.153,-25.315,-25.305,-21.921,-25.367,-25.575,-25.577
18.052,-25.878,-25.906,-21.19,-25.91,-25.798,-25.857
17.652,-25.575,-25.354,-21.249,-25.505,-25.489,-25.217
15.568,-26.489,-26.971,-23.151,-26.603,-26.778,-26.52
