Y_01,Y_05,Y_07,Y_11
1.72,36.065,2.746,25.27
1.167,34.107,3.235,24.584
0.963,29.779,3.327,24.033
1.523,32.25,2.82,23.801
2.752,32.375,3.376,22.456
1.049,30.389,3.203,23.722
1.449,31.145,2.871,24.913
1.234,32.003,3.174,24.219
2.043,31.235,3.217,22.448
1.106,25.113,3.227,23.433
2.416,33.296,3.378,23.037
0.949,32.389,3.049,23.049
1.38,30.076,3.056,24.192
1.36,31.809,2.637,23.243
1.441,34.822,2.791,24.889
1.664,34.42,3.039,22.771
1.122,28.643,2.563,24.775
1.731,34.66,2.758,24.978
1.297,33.704,2.563,24.67
1.501,31.171,3.244,24.813
0.773,33.226,2.477,23.54
1.429,28.892,3.868,23.961
2.45,31.822,3.053,22.212
1.229,33.542,3.425,22.776
1.513,32.885,3.26,22.771
2.405,31.253,2.812,22.228
2.672,31.322,3.091,23.483
1.747,33.449,3.108,24.566
1.105,33.247,2.988,24.4
2.172,29.253,2.594,25.092
1.471,30.661,2.916,24.862
1.864,34.645,2.6,25.551
0.784,33.074,3.254,24.283
1.108,32.179,2.865,24.868
1.582,32.325,2.771,21.523
1.745,30.917,2.804,23.877
1.032,28.46,3.005,24.341
1.739,32.493,3.216,23.494
1.487,27.709,3.132,24.577
1.416,30.617,2.617,23.63
1.229,31.603,2.726,24.378
1.048,32.906,2.635,24.119
0.627,29.522,2.348,23.699
2.097,30.799,3.035,25.327
1.298,29.937,2.879,24.08
1.441,31.732,3.159,24.756
1.58,30.523,2.457,24.857
0.951,29.641,3.135,23.604
1.027,32.845,2.632,24.673
2.487,30.429,2.858,24.148
1.526,31.941,3.314,23.454
1.015,30.985,2.807,23.825
0.815,31.576,2.538,23.365
1.077,29.1,3.605,23.576
0.583,29.699,3.222,24.171
1.127,32.153,2.75,24.251
0.84,34.54,2.132,24.299
1.032,30.784,3.732,23.604
1.358,34.787,3.288,24.397
0.918,33.215,2.657,24.178
1.794,33.471,2.794,25.046
1.204,29.978,3.71,23.479
0.899,32.642,2.527,24.419
1.426,33.299,2.695,25.489
1.454,31.521,2.874,23.138
1.732,30.806,3.145,23.879
1.292,31.267,2.943,24.239
1.032,28.823,4.353,23.409
1.423,28.199,2.832,24.024
1.146,24.54,3.472,23.028
1.148,35.573,2.213,24.949
1.536,30.228,3.491,23.851
1.107,33.357,3.339,22.672
1.372,32.571,2.109,25.124
1.523,31.922,2.696,24.721
1.565,34.771,3.195,23.576
1.995,31.144,2.89,25.029
1.612,32.405,2.989,24.551
1.14,30.356,4.171,23.115
1.349,32.097,2.598,24.627
1.04,32.111,2.635,23.741
1.524,31.635,2.974,24.243
1.425,30.492,3.085,22.782
1.675,32.765,3.206,23.527
1.04,33.528,2.731,23.778
1.408,22.996,2.892,23.704
0.976,31.151,2.812,24.266
1.28,33.136,2.813,23.158
1.164,25.728,3.801,23.702
1.473,31.814,2.725,22.664
0.965,27.723,3.33,22.949
1.186,29.22,2.925,23.24
1.056,26.241,3.422,23.245
1.672,30.061,3.232,24.084
0.978,33.58,2.577,24.181
1.244,27.597,3.808,21.529
1.117,26.082,3.734,23.006
1.44,31.802,2.983,23.346
0.498,31.617,2.96,23.282
1.654,33.039,2.84,23.595
1.4,32.004,2.551,24.702
1.111,32.331,2.534,23.957
2.235,29.573,3.027,24.669
1.057,31.27,3.649,22.728
1.397,34.462,2.925,25.284
0.895,32.565,3.189,24.682
1.677,30.812,3.124,24.897
1.084,30.507,3.052,24.374
2.199,35.227,3.355,23.784
1.094,24.231,3.705,21.84
0.499,26.238,3.986,21.195
1.091,24.438,3.519,22.633
1.464,32.952,3.026,22.714
1.058,28.649,3.549,23.465
1.989,33.807,3.316,23.136
1.293,32.99,2.734,23.699
1.756,32.282,2.444,24.414
1.296,30.644,2.841,24.259
0.921,25.152,3.286,23.423
1.205,32.892,3.221,24.678
1.608,32.46,2.428,25.172
1.272,31.878,2.913,23.993
1.737,34.898,3.234,24.394
1.694,34.468,2.723,24.602
1.629,32.811,3.014,25.402
1.598,32.841,3.191,23.876
0.935,27.959,3.508,24.006
1.337,32.259,3.202,24.398
1.535,29.984,3.205,24.929
1.249,31.332,2.652,24.537
1.199,30.557,3.275,23.401
0.749,32.226,3.077,23.32
1.575,33.694,3.041,23.337
1.096,31.845,2.781,24.589
1.142,32.604,2.757,22.786
0.911,27.886,4.434,22.013
1.052,30.498,2.365,24.046
1.233,28.805,3.663,22.746
1.487,30.81,3.291,24.193
1.476,34.663,2.864,25.922
1.399,32.4,3.211,24.79
1.448,28.391,3.505,24.076
1.629,33.035,2.874,25.789
1.154,33.82,2.562,25.027
0.837,32.804,3.429,25.163
1.464,34.19,2.682,25.507
1.215,31.083,3.05,25.511
2.121,30.782,2.92,26.256
1.616,35.088,2.084,25.869
1.265,33.32,3.215,24.771
1.087,27.667,4.299,23.464
1.889,34.569,3.155,24.317
1.579,34.121,2.728,25.68
1.241,26.881,3.497,23.777
1.29,33.34,2.812,24.709
1.895,32.454,3.478,24.373
1.196,25.842,4.016,23.224
2.366,33.758,3.211,23.948
0.382,20.706,3.278,23.093
1.037,22.671,4.043,22.39
1.044,35.101,2.057,24.981
1.439,32.366,2.945,23.863
1.642,35.933,2.72,25.355
1.254,33.413,3.605,22.881
1.515,33.52,2.918,24.561
0.935,29.665,2.981,25.041
1.999,31.831,3.322,24.008
1.395,36.234,2.309,25.806
1.822,35.289,2.709,26.218
1.768,27.464,3.703,22.475
0.89,25.996,4.41,22.971
1.224,30.725,3.302,24.579
1.443,29.983,3.069,24.316
1.564,34.144,2.968,25.574
1.425,33.604,2.998,25.105
1.156,32.374,3.258,25.131
1.113,30.189,3.414,25.01
1.129,31.71,3.211,24.586
0.869,32.525,3.366,24.91
1.438,31.975,2.955,25.115
1.544,28.855,3.465,24.558
1.396,28.427,2.996,25.297
1.648,27.648,3.728,24.056
1.764,33.545,3.256,24.903
1.276,27.663,3.46,24.675
1.762,33.974,2.633,25.22
1.103,34.539,2.828,25.322
0.726,27.647,3.657,24.072
0.956,32.777,2.981,25.356
1.322,33.295,3.324,25.096
1.366,31.266,2.96,25.656
1.54,25.592,3.186,24.128
0.803,31.749,3.1,24.653
1.598,33.058,2.702,25.091
1.923,32.418,3.212,24.743
1.855,29.971,3.343,24.725
1.568,33.22,2.94,23.738
1.678,23.097,3.861,23.133
0.946,22.17,3.334,24.455
2.171,35.446,3.042,24.465
1.706,34.557,3.333,25.076
0.606,26.879,3.574,23.598
1.246,25.111,3.233,24.248
1.427,31.597,2.949,25.196
0.957,35.395,2.498,25.743
1.432,32.272,3.529,25.329
1.877,34.788,2.256,25.596
1.372,33.058,2.545,25.335
1.501,32.23,2.911,25.019
1.707,33.948,2.351,25.753
1.692,31.01,3.239,25.255
1.355,26.709,4.173,23.25
1.263,31.271,3.277,24.162
1.562,35.164,2.219,26.551
1.336,32.652,3.246,24.864
1.865,33.788,2.908,25.699
1.671,23.427,3.762,23.855
1.285,33.824,2.995,24.866
2.206,33.802,3.031,26.031
1.582,33.933,3.505,23.557
1.446,34.61,2.928,25.322
1.192,35.982,2.844,26.063
1.788,32.644,3.174,25.384
1.863,34.454,2.547,26.185
1.451,30.38,2.43,24.967
0.785,29.942,3.578,24.434
1.323,29.481,3.63,23.776
1.682,28.811,3.059,24.506
1.024,27.408,4.094,23.338
1.05,32.161,2.881,25.087
1.883,32.115,2.851,25.173
1.475,34.685,3.102,24.931
1.426,33.719,3.025,25.925
1.473,29.762,3.625,25.121
1.574,33.619,2.413,25.424
1.177,32.522,3.387,23.801
1.875,34.747,2.676,25.525
1.24,33.755,2.883,25.03
1.524,27.779,4.257,23.516
0.551,30.302,3.702,23.941
1.479,30.923,2.914,24.625
1.133,24.783,3.637,23.254
1.704,32.216,3.16,25.203
0.811,28.291,4.114,22.816
1.755,33.409,2.805,25.06
1.051,28.421,3.911,22.366
1.187,32.537,3.223,25.018
1.497,31.652,2.947,25.34
1.441,34.493,2.864,25.837
1.36,29.863,2.753,25.204
1.555,35.927,2.851,25.107
1.116,27.129,4.137,21.227
1.769,32.569,3.207,24.523
1.395,30.623,3.381,24.271
0.938,33.049,2.82,24.373
1.719,30.261,2.575,24.986
2.087,33.766,3.242,24.451
2.011,33.049,2.797,24.181
1.595,35.236,2.365,25.799
1.722,34.163,2.675,26.122
1.321,33.238,2.814,25.286
1.531,35.095,2.3,26.136
0.427,33.457,3.116,24.338
0.52,27.787,3.945,22.967
1.206,34.769,2.729,25.4
0.98,24.296,3.26,24.152
1.638,33.951,2.984,25.808
1.524,28.803,3.504,23.823
2.275,30.25,2.88,24.933
0.984,27.307,3.924,23.044
1.321,33.221,2.672,25.341
1.449,31.415,2.659,25.47
1.614,23.619,3.906,22.388
1.541,29.596,3.173,24.732
1.573,31.042,3.024,24.59
1.967,31.615,3.046,25.121
1.107,25.827,3.504,23.121
1.981,30.219,3.216,24.699
1.459,34.436,2.414,25.331
2.067,35.185,2.906,25.841
1.847,34.208,2.5,25.595
1.742,28.41,3.106,24.827
1.225,30.777,3.754,24.248
1.371,32.651,2.924,25.009
1.156,32.721,2.705,24.67
1.574,35.118,2.539,25.607
1.427,29.334,3.073,25.148
1.206,34.292,2.323,25.257
1.074,33.993,2.147,25.351
1.547,29.336,3.029,25.655
1.99,27.767,2.978,24.997
1.19,33.378,2.987,25.486
1.935,31.968,2.798,25.112
1.762,27.798,3.263,22.806
1.334,23.466,3.725,23.926
1.456,28.839,3.493,24.68
1.184,28.446,3.169,24.422
2.167,32.384,2.876,24.93
0.633,34.61,3.057,25.518
1.135,31.922,3.433,24.497
1.699,33.607,2.558,25.933
1.334,34.996,2.877,24.913
1.328,30.936,2.67,25.043
0.684,26.383,3.814,23.984
1.116,31.263,3.182,25.199
1.673,27.184,3.451,23.956
1.134,33.781,2.765,25.008
1.623,33.73,2.537,26.197
1.323,35.35,2.793,25.024
1.041,29.47,3.443,23.894
0.785,24.726,3.747,22.526
0.988,28.716,3.87,23.751
1.686,32.698,2.957,25.671
1.157,33.558,2.913,25.782
1.97,28.144,3.467,24.356
1.352,33.75,2.61,25.56
1.632,28.813,3.261,24.54
1.377,33.715,2.464,25.562
1.049,26.113,3.543,23.943
1.042,27.591,3.084,24.012
1.536,33.846,2.984,25.152
1.387,33.363,3.108,25.652
1.646,34.489,2.749,26.002
1.234,34.187,2.526,25.634
1.063,32.848,2.846,24.785
1.449,33.948,2.841,25.049
1.524,33.226,3.204,25.171
1.274,22.5,3.293,24.58
1.097,34.902,2.654,25.254
1.666,30.483,2.985,24.334
1.255,28.467,3.534,23.66
1.241,30.147,3.366,24.578
1.207,33.708,2.933,24.069
0.433,27.815,3.052,24.027
1.749,33.992,2.997,24.261
1.645,31.455,3.542,24.527
1.429,33.475,3.253,24.486
1.209,32.01,3.104,24.406
0.449,32.986,3.011,24.131
0.732,30.813,3.274,22.483
1.423,33.028,2.39,24.934
1.482,30.724,3.128,24.49
1.079,32.386,3.038,24.649
1.219,34.652,3.122,24.269
0.959,32.268,2.796,24.52
1.079,32.594,2.863,24.551
2.5,32.875,2.792,23.704
1.804,32.478,2.923,23.917
1.268,28.349,2.958,24.2
1.701,33.039,2.759,23.64
1.919,31.683,3.167,23.79
1.542,32.551,3.074,22.748
1.043,26.881,3.111,24.08
1.178,28.623,3.112,24.373
1.262,34.988,2.506,25.33
1.279,27.943,3.227,24.781
1.432,33.87,2.732,25.469
1.368,33.011,2.74,25.392
1.622,34.847,2.317,25.294
1.401,31.289,3.565,24.77
0.668,32.266,3.093,24.963
0.729,31.837,3.054,25.053
0.766,32.477,3.383,24.374
1.097,34.243,2.782,24.627
1.794,30.658,2.894,25.676
1.792,34.911,2.629,25.718
1.334,31.213,2.464,25.343
1.761,31.024,3.124,25.033
1.284,33.054,3.099,25.006
1.101,32.041,3.194,24.843
1.894,30.094,2.719,23.994
1.186,32.874,2.943,24.401
0.941,24.786,3.779,23.407
1.387,27.395,3.353,24.233
0.507,26.501,3.708,23.488
1.143,34.153,2.879,24.763
1.391,31.373,2.846,24.271
0.957,31.297,3.602,24.058
1.416,34.232,3.132,24.879
1.484,33.365,2.352,25.532
1.633,34.703,2.782,25.062
1.513,28.308,3.63,23.893
1.318,27.673,3.029,24.754
0.553,20.935,3.425,22.671
1.29,33.048,2.959,24.804
1.633,33.748,3.103,24.536
1.179,31.262,3.227,24.458
1.445,33.951,3.111,24.018
1.449,32.572,2.814,24.776
1.196,31.694,2.955,25.148
1.449,28.392,3.079,24.657
1.482,33.042,3.065,25.063
1.097,31.727,2.979,24.683
1.384,33.188,2.838,25.174
1.908,32.957,2.702,25.105
1.345,32.292,2.622,25.036
1.497,25.836,4.124,22.744
1.249,31.421,3.152,24.038
1.475,28.939,3.459,23.597
1.503,29.461,3.789,24.293
1.522,32.793,2.331,25.194
1.123,29.961,3.119,24.436
1.926,33.352,2.283,25.225
1.535,28.429,3.263,23.129
1.263,32.711,2.488,24.894
1.156,29.185,3.607,23.54
2.358,32.641,3.189,24.672
1.486,33.552,2.93,24.881
1.899,34.651,2.405,25.732
1.31,26.524,2.943,24.621
1.9,32.112,3.078,25.06
1.241,32.394,2.848,24.765
1.593,33.5,2.67,25.112
1.774,23.566,3.467,21.078
1.336,25.357,3.419,23.342
1.406,30.915,2.871,24.86
1.571,32.42,2.89,24.88
1.15,28.589,3.501,23.763
1.715,33.441,2.741,25.025
0.813,28.717,3.658,23.549
1.47,26.18,3.693,24.194
1.717,23.831,3.293,23.084
1.602,33.881,2.983,25.189
1.567,30.676,2.824,23.837
1.31,31.25,3.129,24.738
0.967,27.944,3.562,24.347
1.969,22.315,3.726,22.653
0.861,24.929,3.955,22.11
1.242,24.229,3.64,23.138
1.054,29.373,3.096,24.4
1.322,29.752,2.854,25.167
1.604,33.057,2.371,25.16
1.331,27.345,2.89,24.452
1.4,32.293,3.24,24.313
1.606,30.391,3.096,25.3
1.793,29.995,3.205,24.382
1.648,28.999,3.833,23.231
0.785,29.782,2.704,24.342
1.274,30.646,3.108,24.025
0.931,25.269,3.654,23.268
1.258,26.848,3.429,23.825
0.714,28.565,3.691,23.087
1.737,31.024,2.695,24.666
1.222,30.406,2.734,25.026
1.253,33.581,2.892,24.458
1.924,30.675,3.132,24.287
1.92,27.445,3.574,23.539
1.112,31.694,2.867,23.634
1.444,33.004,2.457,24.941
1.623,30.145,2.972,23.963
1.215,32.986,3.206,24.281
0.72,32.638,2.625,24.469
1.15,31.907,2.52,24.922
1.373,33.533,2.809,24.633
1.978,27.598,2.945,24.912
1.493,34.618,2.584,24.804
1.373,31.568,2.748,24.474
0.902,32.313,3.105,24.524
2.016,31.488,2.758,25.085
1.532,26.342,3.602,21.967
1.59,31.466,2.834,24.487
1.447,31.089,3.07,23.543
1.527,29.358,2.975,23.754
1.39,30.314,2.758,24.772
1.935,34.031,2.582,24.893
1.332,30.486,3.012,24.329
1.85,33.5,2.755,25.212
1.031,28.074,3.456,23.823
1.82,30.766,3.129,24.301
0.981,31.083,2.772,24.565
1.197,26.968,3.173,23.303
0.747,33.844,2.917,24.155
1.015,32.583,2.829,24.882
1.937,29.916,2.811,24.901
0.872,25.929,3.954,22.765
2.619,26.465,2.795,23.946
1.479,28.526,3.765,23.539
1.597,34.615,2.789,24.399
1.415,28.787,2.914,24.111
1.245,34.02,2.782,25.318
1.344,32.869,2.822,24.897
1.9,29.439,3.174,23.478
1.239,24.001,3.76,22.051
0.757,25.755,3.912,22.478
1.823,31.495,3.157,24.835
1.386,34.125,2.297,25.174
1.744,29.185,4.015,23.101
0.727,31.805,2.973,24.695
1.48,33.729,3.162,24.642
1.033,25.571,3.77,23.245
0.53,30.768,3.579,23.914
2.812,27.912,3.024,24.697
1.692,34.517,2.277,25.495
1.363,30.663,3.183,24.694
1.915,33.262,3.182,23.883
1.402,29.777,3.035,24.72
1.294,30.834,3.406,24.423
0.955,29.334,3.35,24.033
1.253,34.128,3.163,24.368
1.312,33.613,3.36,25.054
1.273,26.724,3.513,23.153
1.39,33.045,2.794,24.754
0.573,31.692,2.974,24.232
1.64,31.002,3.261,24.562
1.316,30.146,3.528,23.558
1.051,28.132,3.727,23.266
1.566,31.623,2.73,24.807
1.143,28.788,2.986,24.919
1.156,30.658,3.409,23.636
1.353,34.333,2.89,25.055
1.662,33.673,2.518,24.896
0.754,31.329,3.043,23.369
1.41,26.115,3.536,23.847
1.387,31.343,2.903,24.572
1.527,34.87,1.765,25.565
1.178,30.291,3.172,23.004
1.964,34.108,2.561,24.506
1.003,31.134,3.535,23.604
1.466,31.916,2.675,25.356
1.367,27.312,3.033,24.024
1.704,31.143,2.603,23.706
1.765,33.156,2.888,24.26
1.249,25.423,3.659,22.146
1.433,29.714,3.444,24.318
1.009,27.173,3.24,24.042
1.578,32.794,2.217,24.752
0.93,33.731,2.892,24.295
1.243,31.545,3.032,24.287
1.523,29.631,3.773,23.492
1.194,33.462,2.445,25.39
1.237,30.607,2.93,24.119
1.849,32.778,2.836,24.962
1.745,34.914,2.423,25.231
0.882,31.63,2.249,24.664
1.261,27.596,2.987,24.112
1.3,33.927,2.7,25.174
0.812,30.374,3.102,24.502
1.709,30.416,2.717,25.114
1.19,27.824,3.324,23.942
1.441,36.762,2.699,24.567
1.845,32.794,2.77,24.612
1.472,33.805,2.471,25.041
1.984,30.052,3.404,23.854
1.34,31.404,3.022,24.683
1.932,28.959,3.23,24.539
1.732,34.356,2.626,25.044
1.412,29.795,3.021,23.922
1.436,33.627,3.012,24.746
1.987,29.051,2.713,24.546
1.619,32.852,2.27,24.876
0.867,31.312,2.813,24.695
1.209,32.461,3.237,23.819
1.26,32.406,2.632,24.733
1.659,33.084,2.855,25.293
0.93,29.859,3.432,23.9
1.566,30.021,2.693,24.586
1.449,33.4,3.07,24.598
1.8,26.702,3.24,23.959
1.394,28.148,3.794,24.05
1.309,34.113,3.045,24.414
1.565,31.794,2.454,24.851
1.871,31.821,3.374,24.82
1.266,31.614,3.024,25.073
1.432,31.815,3.21,24.884
1.132,30.807,3.206,23.646
1.343,28.858,3.743,23.809
0.716,26.836,3.755,22.75
3.419,26.033,3.043,24.759
2.109,33.11,2.532,23.887
1.313,26.091,3.132,24.439
1.493,33.601,2.592,25.119
1.265,32.39,2.988,24.377
1.612,29.936,3.475,23.322
1.205,31.04,3.177,24.451
1.413,33.294,3.094,24.849
1.241,30.559,3.514,23.792
1.875,31.598,2.356,24.6
1.415,28.686,3.204,24.582
0.827,33.98,2.82,24.402
1.873,33.485,2.896,25.388
1.261,23.611,3.327,23.757
1.724,27.563,4.1,22.831
1.45,31.19,2.759,24.761
1.378,32.627,3.037,24.769
1.23,33.313,3.039,24.364
1.174,33.682,2.959,24.796
2.066,30.92,3.281,25.028
1.568,31.917,2.989,24.515
1.583,34.019,2.579,24.229
1.401,26.512,3.274,23.462
0.75,20.555,3.307,22.72
2.154,32.56,2.87,24.666
1.763,31.33,3.215,24.702
1.075,28.317,3.841,22.054
0.914,29.304,2.888,23.883
1.268,26.459,3.665,23.577
1.303,32.013,2.808,24.979
1.038,26.803,3.694,23.979
1.371,28.089,2.926,23.76
1.209,24.123,4.125,21.895
1.428,31.84,3.064,24.589
1.205,29.158,3.379,22.837
1.278,28.051,3.236,24.064
1.283,33.708,2.482,24.08
1.045,29.919,3.732,23.283
0.774,31.427,2.981,22.747
1.633,33.013,2.877,23.731
1.376,31.542,2.847,24.694
1.474,32.775,2.85,24.595
1.54,29.171,3.424,23.93
1.05,32.229,2.5,23.652
1.05,31.465,3.193,24.142
1.271,32.445,3.351,23.865
1.38,34.785,2.846,25.1
1.601,29.083,3.298,23.092
1.563,32.744,3.21,22.296
1.145,31.205,2.575,23.854
1.902,32.044,3.046,23.806
1.028,33.787,2.713,24.458
0.882,26.948,3.171,23.819
1.297,31.508,2.479,24.856
1.711,30.775,3.398,23.811
1.175,27.081,3.753,23.333
1.476,30.394,2.735,23.197
0.624,32.085,2.892,24.638
0.396,24.756,3.708,23.087
0.96,33.392,2.595,24.232
1.018,32.195,3.101,24.192
1.136,27.93,3.81,24.274
1.224,31.656,2.82,24.57
2.468,33.273,2.633,23.791
1.089,32.4,3.634,24.559
1.483,31.053,3.268,24.202
0.608,24.021,3.712,22.556
1.536,27.299,3.758,23.531
1.383,30.429,3.451,25.125
1.036,26.848,3.235,21.831
1.234,25.426,4.099,21.407
1.548,34.636,2.691,25.266
1.522,29.998,3.362,23.237
1.441,24.098,3.607,23.284
1.365,31.712,3.214,24.865
1.312,23.849,3.652,23.789
1.437,33.337,2.694,24.975
1.076,28.781,3.669,23.371
0.942,25.649,3.564,22.276
1.366,27.218,3.412,23.423
0.844,31.64,2.972,24.155
1.455,29.96,3.254,24.514
1.707,33.411,2.541,25.64
1.765,32.487,2.939,24.022
1.66,31.323,3.224,24.111
1.883,32.746,2.545,24.889
1.393,33.96,2.612,25.417
1.247,34.234,2.709,24.574
0.966,34.369,2.548,24.849
1.846,33.217,2.92,25.198
1.117,32.946,2.919,24.125
1.985,33.559,2.525,24.349
1.358,33.677,2.733,24.007
0.399,27.639,3.482,22.542
0.503,34.211,2.507,24.383
1.7,32.765,2.488,24.929
1.73,31.019,3.117,24.704
1.447,32.975,3.168,25.542
1.377,32.606,2.941,24.803
1.296,31.378,2.993,24.43
1.504,33.812,2.18,25.304
1.415,34.197,3.026,23.908
0.744,25.532,3.528,22.25
0.97,28.99,2.94,23.938
0.959,32.144,2.57,25.025
1.029,32.117,2.567,23.968
1.766,32.007,2.945,24.96
1.48,33.421,2.825,24.261
